environment | time (ms),fast_sodium_current | i_Na (uA_per_mm2),L_type_Ca_channel | i_CaCa (uA_per_mm2),L_type_Ca_channel | i_CaK (uA_per_mm2),membrane | V (mV),plateau_potassium_current | i_Kp (uA_per_mm2),time_dependent_potassium_current | i_K (uA_per_mm2),time_independent_potassium_current | i_K1 (uA_per_mm2)
1.98,-0.00101024,-0.0501789,0.0347975,48.2292,0.0248242,5.68358e-06,2.91439e-13
1.99,-0.000933379,-0.0503822,0.0349177,48.2208,0.0248226,5.80345e-06,2.92206e-13
2,-0.000862367,-0.0505819,0.0350352,48.2123,0.024821,5.92456e-06,2.92974e-13
2.01,-0.000796752,-0.0507779,0.0351501,48.2039,0.0248194,6.0469e-06,2.93742e-13
2.02,-0.00073612,-0.0509704,0.0352624,48.1955,0.0248179,6.17047e-06,2.94511e-13
2.03,-0.000680108,-0.0511593,0.0353722,48.1872,0.0248163,6.29528e-06,2.95279e-13
2.04,-0.000628357,-0.0513448,0.0354796,48.1788,0.0248147,6.42133e-06,2.96048e-13
2.05,-0.000580541,-0.0515269,0.0355845,48.1705,0.0248132,6.54861e-06,2.96815e-13
2.06,-0.000536367,-0.0517057,0.0356871,48.1622,0.0248116,6.67712e-06,2.97581e-13
2.07,-0.000495561,-0.0518812,0.0357874,48.154,0.0248101,6.80686e-06,2.98347e-13
2.08,-0.000457859,-0.0520534,0.0358854,48.1458,0.0248085,6.93784e-06,2.9911e-13
2.09,-0.000423018,-0.0522225,0.0359812,48.1376,0.024807,7.07004e-06,2.99873e-13
2.1,-0.000390839,-0.0523885,0.0360748,48.1295,0.0248055,7.20348e-06,3.00633e-13
2.11,-0.000361108,-0.0525515,0.0361663,48.1214,0.024804,7.33815e-06,3.01391e-13
2.12,-0.000333631,-0.0527114,0.0362558,48.1134,0.0248024,7.47404e-06,3.02147e-13
2.13,-0.000308245,-0.0528684,0.0363432,48.1054,0.0248009,7.61117e-06,3.029e-13
2.14,-0.000284793,-0.0530224,0.0364287,48.0974,0.0247995,7.74952e-06,3.03652e-13
