environment | time (ms),fast_sodium_current | i_Na (uA_per_mm2),L_type_Ca_channel | i_CaCa (uA_per_mm2),L_type_Ca_channel | i_CaK (uA_per_mm2),membrane | V (mV),plateau_potassium_current | i_Kp (uA_per_mm2),time_dependent_potassium_current | i_K (uA_per_mm2),time_independent_potassium_current | i_K1 (uA_per_mm2)
256.08,-3.57045e-08,-1.14835e-05,2.69193e-10,-86.5741,2.69094e-11,-0.00407142,0.00422435
256.09,-3.57062e-08,-1.14847e-05,2.69182e-10,-86.5743,2.6905e-11,-0.00407087,0.00422378
256.1,-3.57078e-08,-1.14859e-05,2.69172e-10,-86.5744,2.69005e-11,-0.00407032,0.0042232
256.11,-3.57095e-08,-1.14871e-05,2.69161e-10,-86.5746,2.68961e-11,-0.00406976,0.00422263
256.12,-3.57111e-08,-1.14883e-05,2.69151e-10,-86.5747,2.68916e-11,-0.00406921,0.00422206
256.13,-3.57128e-08,-1.14896e-05,2.6914e-10,-86.5748,2.68872e-11,-0.00406865,0.00422149
256.14,-3.57144e-08,-1.14908e-05,2.6913e-10,-86.575,2.68827e-11,-0.0040681,0.00422092
256.15,-3.5716e-08,-1.1492e-05,2.69119e-10,-86.5751,2.68783e-11,-0.00406755,0.00422035
256.16,-3.57177e-08,-1.14932e-05,2.69109e-10,-86.5753,2.68738e-11,-0.00406699,0.00421978
256.17,-3.57193e-08,-1.14944e-05,2.69098e-10,-86.5754,2.68694e-11,-0.00406644,0.0042192
256.18,-3.57209e-08,-1.14956e-05,2.69088e-10,-86.5756,2.6865e-11,-0.00406589,0.00421863
256.19,-3.57225e-08,-1.14968e-05,2.69077e-10,-86.5757,2.68605e-11,-0.00406533,0.00421806
256.2,-3.57241e-08,-1.1498e-05,2.69066e-10,-86.5758,2.68561e-11,-0.00406478,0.00421749
256.21,-3.57257e-08,-1.14992e-05,2.69056e-10,-86.576,2.68516e-11,-0.00406423,0.00421692
256.22,-3.57274e-08,-1.15005e-05,2.69045e-10,-86.5761,2.68472e-11,-0.00406367,0.00421635
256.23,-3.5729e-08,-1.15017e-05,2.69034e-10,-86.5763,2.68427e-11,-0.00406312,0.00421578
256.24,-3.57306e-08,-1.15029e-05,2.69024e-10,-86.5764,2.68383e-11,-0.00406257,0.00421521
256.25,-3.57322e-08,-1.15041e-05,2.69013e-10,-86.5765,2.68339e-11,-0.00406201,0.00421464
256.26,-3.57338e-08,-1.15053e-05,2.69003e-10,-86.5767,2.68294e-11,-0.00406146,0.00421407
256.27,-3.57354e-08,-1.15065e-05,2.68992e-10,-86.5768,2.6825e-11,-0.00406091,0.0042135
256.28,-3.57369e-08,-1.15077e-05,2.68981e-10,-86.577,2.68205e-11,-0.00406036,0.00421293
256.29,-3.57385e-08,-1.15089e-05,2.6897e-10,-86.5771,2.68161e-11,-0.0040598,0.00421236
256.3,-3.57401e-08,-1.15101e-05,2.6896e-10,-86.5772,2.68117e-11,-0.00405925,0.00421179
256.31,-3.57417e-08,-1.15113e-05,2.68949e-10,-86.5774,2.68072e-11,-0.0040587,0.00421122
256.32,-3.57433e-08,-1.15125e-05,2.68938e-10,-86.5775,2.68028e-11,-0.00405815,0.00421065
256.33,-3.57449e-08,-1.15137e-05,2.68928e-10,-86.5777,2.67984e-11,-0.00405759,0.00421008
256.34,-3.57464e-08,-1.1515e-05,2.68917e-10,-86.5778,2.67939e-11,-0.00405704,0.00420951
256.35,-3.5748e-08,-1.15162e-05,2.68906e-10,-86.578,2.67895e-11,-0.00405649,0.00420894
256.36,-3.57496e-08,-1.15174e-05,2.68895e-10,-86.5781,2.67851e-11,-0.00405594,0.00420837
256.37,-3.57511e-08,-1.15186e-05,2.68885e-10,-86.5782,2.67806e-11,-0.00405538,0.0042078
256.38,-3.57527e-08,-1.15198e-05,2.68874e-10,-86.5784,2.67762e-11,-0.00405483,0.00420723
256.39,-3.57542e-08,-1.1521e-05,2.68863e-10,-86.5785,2.67718e-11,-0.00405428,0.00420666
256.4,-3.57558e-08,-1.15222e-05,2.68852e-10,-86.5787,2.67674e-11,-0.00405373,0.00420609
256.41,-3.57574e-08,-1.15234e-05,2.68841e-10,-86.5788,2.67629e-11,-0.00405318,0.00420552
256.42,-3.57589e-08,-1.15246e-05,2.68831e-10,-86.5789,2.67585e-11,-0.00405262,0.00420495
256.43,-3.57605e-08,-1.15258e-05,2.6882e-10,-86.5791,2.67541e-11,-0.00405207,0.00420438
256.44,-3.5762e-08,-1.1527e-05,2.68809e-10,-86.5792,2.67496e-11,-0.00405152,0.00420381
256.45,-3.57635e-08,-1.15282e-05,2.68798e-10,-86.5794,2.67452e-11,-0.00405097,0.00420324
256.46,-3.57651e-08,-1.15294e-05,2.68787e-10,-86.5795,2.67408e-11,-0.00405042,0.00420267
256.47,-3.57666e-08,-1.15306e-05,2.68776e-10,-86.5796,2.67364e-11,-0.00404987,0.0042021
256.48,-3.57681e-08,-1.15318e-05,2.68765e-10,-86.5798,2.6732e-11,-0.00404931,0.00420153
256.49,-3.57697e-08,-1.1533e-05,2.68755e-10,-86.5799,2.67275e-11,-0.00404876,0.00420097
256.5,-3.57712e-08,-1.15342e-05,2.68744e-10,-86.5801,2.67231e-11,-0.00404821,0.0042004
256.51,-3.57727e-08,-1.15354e-05,2.68733e-10,-86.5802,2.67187e-11,-0.00404766,0.00419983
256.52,-3.57742e-08,-1.15366e-05,2.68722e-10,-86.5803,2.67143e-11,-0.00404711,0.00419926
256.53,-3.57758e-08,-1.15378e-05,2.68711e-10,-86.5805,2.67099e-11,-0.00404656,0.00419869
256.54,-3.57773e-08,-1.1539e-05,2.687e-10,-86.5806,2.67054e-11,-0.00404601,0.00419812
256.55,-3.57788e-08,-1.15402e-05,2.68689e-10,-86.5808,2.6701e-11,-0.00404546,0.00419755
256.56,-3.57803e-08,-1.15414e-05,2.68678e-10,-86.5809,2.66966e-11,-0.00404491,0.00419699
256.57,-3.57818e-08,-1.15426e-05,2.68667e-10,-86.581,2.66922e-11,-0.00404435,0.00419642
256.58,-3.57833e-08,-1.15438e-05,2.68656e-10,-86.5812,2.66878e-11,-0.0040438,0.00419585
256.59,-3.57848e-08,-1.1545e-05,2.68645e-10,-86.5813,2.66834e-11,-0.00404325,0.00419528
256.6,-3.57863e-08,-1.15462e-05,2.68634e-10,-86.5815,2.6679e-11,-0.0040427,0.00419471
256.61,-3.57878e-08,-1.15474e-05,2.68623e-10,-86.5816,2.66745e-11,-0.00404215,0.00419414
256.62,-3.57893e-08,-1.15486e-05,2.68612e-10,-86.5817,2.66701e-11,-0.0040416,0.00419358
256.63,-3.57908e-08,-1.15498e-05,2.68601e-10,-86.5819,2.66657e-11,-0.00404105,0.00419301
256.64,-3.57923e-08,-1.1551e-05,2.6859e-10,-86.582,2.66613e-11,-0.0040405,0.00419244
256.65,-3.57937e-08,-1.15522e-05,2.68579e-10,-86.5822,2.66569e-11,-0.00403995,0.00419187
256.66,-3.57952e-08,-1.15534e-05,2.68568e-10,-86.5823,2.66525e-11,-0.0040394,0.0041913
256.67,-3.57967e-08,-1.15546e-05,2.68557e-10,-86.5825,2.66481e-11,-0.00403885,0.00419074
256.68,-3.57982e-08,-1.15558e-05,2.68546e-10,-86.5826,2.66437e-11,-0.0040383,0.00419017
256.69,-3.57996e-08,-1.1557e-05,2.68535e-10,-86.5827,2.66393e-11,-0.00403775,0.0041896
256.7,-3.58011e-08,-1.15582e-05,2.68524e-10,-86.5829,2.66349e-11,-0.0040372,0.00418903
256.71,-3.58026e-08,-1.15594e-05,2.68512e-10,-86.583,2.66305e-11,-0.00403665,0.00418847
256.72,-3.5804e-08,-1.15606e-05,2.68501e-10,-86.5832,2.66261e-11,-0.0040361,0.0041879
256.73,-3.58055e-08,-1.15618e-05,2.6849e-10,-86.5833,2.66217e-11,-0.00403555,0.00418733
256.74,-3.58069e-08,-1.1563e-05,2.68479e-10,-86.5834,2.66173e-11,-0.004035,0.00418677
256.75,-3.58084e-08,-1.15642e-05,2.68468e-10,-86.5836,2.66129e-11,-0.00403445,0.0041862
256.76,-3.58098e-08,-1.15654e-05,2.68457e-10,-86.5837,2.66085e-11,-0.0040339,0.00418563
256.77,-3.58113e-08,-1.15665e-05,2.68446e-10,-86.5839,2.66041e-11,-0.00403335,0.00418506
256.78,-3.58127e-08,-1.15677e-05,2.68434e-10,-86.584,2.65997e-11,-0.0040328,0.0041845
256.79,-3.58142e-08,-1.15689e-05,2.68423e-10,-86.5841,2.65953e-11,-0.00403225,0.00418393
256.8,-3.58156e-08,-1.15701e-05,2.68412e-10,-86.5843,2.65909e-11,-0.0040317,0.00418336
256.81,-3.5817e-08,-1.15713e-05,2.68401e-10,-86.5844,2.65865e-11,-0.00403115,0.0041828
256.82,-3.58185e-08,-1.15725e-05,2.6839e-10,-86.5846,2.65821e-11,-0.0040306,0.00418223
256.83,-3.58199e-08,-1.15737e-05,2.68378e-10,-86.5847,2.65777e-11,-0.00403005,0.00418166
256.84,-3.58213e-08,-1.15749e-05,2.68367e-10,-86.5848,2.65733e-11,-0.00402951,0.0041811
256.85,-3.58227e-08,-1.15761e-05,2.68356e-10,-86.585,2.65689e-11,-0.00402896,0.00418053
256.86,-3.58242e-08,-1.15773e-05,2.68345e-10,-86.5851,2.65645e-11,-0.00402841,0.00417996
256.87,-3.58256e-08,-1.15785e-05,2.68333e-10,-86.5853,2.65601e-11,-0.00402786,0.0041794
256.88,-3.5827e-08,-1.15796e-05,2.68322e-10,-86.5854,2.65557e-11,-0.00402731,0.00417883
256.89,-3.58284e-08,-1.15808e-05,2.68311e-10,-86.5855,2.65513e-11,-0.00402676,0.00417827
256.9,-3.58298e-08,-1.1582e-05,2.683e-10,-86.5857,2.65469e-11,-0.00402621,0.0041777
256.91,-3.58312e-08,-1.15832e-05,2.68288e-10,-86.5858,2.65425e-11,-0.00402566,0.00417713
256.92,-3.58326e-08,-1.15844e-05,2.68277e-10,-86.586,2.65382e-11,-0.00402511,0.00417657
256.93,-3.5834e-08,-1.15856e-05,2.68266e-10,-86.5861,2.65338e-11,-0.00402457,0.004176
256.94,-3.58354e-08,-1.15868e-05,2.68254e-10,-86.5862,2.65294e-11,-0.00402402,0.00417544
256.95,-3.58368e-08,-1.1588e-05,2.68243e-10,-86.5864,2.6525e-11,-0.00402347,0.00417487
256.96,-3.58382e-08,-1.15892e-05,2.68232e-10,-86.5865,2.65206e-11,-0.00402292,0.0041743
256.97,-3.58396e-08,-1.15903e-05,2.6822e-10,-86.5867,2.65162e-11,-0.00402237,0.00417374
256.98,-3.5841e-08,-1.15915e-05,2.68209e-10,-86.5868,2.65118e-11,-0.00402182,0.00417317
256.99,-3.58424e-08,-1.15927e-05,2.68197e-10,-86.5869,2.65075e-11,-0.00402128,0.00417261
257,-3.58438e-08,-1.15939e-05,2.68186e-10,-86.5871,2.65031e-11,-0.00402073,0.00417204
257.01,-3.58451e-08,-1.15951e-05,2.68175e-10,-86.5872,2.64987e-11,-0.00402018,0.00417148
257.02,-3.58465e-08,-1.15963e-05,2.68163e-10,-86.5874,2.64943e-11,-0.00401963,0.00417091
257.03,-3.58479e-08,-1.15975e-05,2.68152e-10,-86.5875,2.64899e-11,-0.00401908,0.00417035
257.04,-3.58492e-08,-1.15986e-05,2.6814e-10,-86.5876,2.64856e-11,-0.00401854,0.00416978
257.05,-3.58506e-08,-1.15998e-05,2.68129e-10,-86.5878,2.64812e-11,-0.00401799,0.00416922
257.06,-3.5852e-08,-1.1601e-05,2.68117e-10,-86.5879,2.64768e-11,-0.00401744,0.00416865
257.07,-3.58533e-08,-1.16022e-05,2.68106e-10,-86.588,2.64724e-11,-0.00401689,0.00416809
257.08,-3.58547e-08,-1.16034e-05,2.68095e-10,-86.5882,2.64681e-11,-0.00401635,0.00416752
257.09,-3.58561e-08,-1.16046e-05,2.68083e-10,-86.5883,2.64637e-11,-0.0040158,0.00416696
257.1,-3.58574e-08,-1.16057e-05,2.68072e-10,-86.5885,2.64593e-11,-0.00401525,0.00416639
257.11,-3.58588e-08,-1.16069e-05,2.6806e-10,-86.5886,2.64549e-11,-0.0040147,0.00416583
257.12,-3.58601e-08,-1.16081e-05,2.68049e-10,-86.5887,2.64506e-11,-0.00401416,0.00416526
257.13,-3.58614e-08,-1.16093e-05,2.68037e-10,-86.5889,2.64462e-11,-0.00401361,0.0041647
257.14,-3.58628e-08,-1.16105e-05,2.68026e-10,-86.589,2.64418e-11,-0.00401306,0.00416413
257.15,-3.58641e-08,-1.16117e-05,2.68014e-10,-86.5892,2.64375e-11,-0.00401251,0.00416357
257.16,-3.58655e-08,-1.16128e-05,2.68002e-10,-86.5893,2.64331e-11,-0.00401197,0.004163
257.17,-3.58668e-08,-1.1614e-05,2.67991e-10,-86.5894,2.64287e-11,-0.00401142,0.00416244
257.18,-3.58681e-08,-1.16152e-05,2.67979e-10,-86.5896,2.64243e-11,-0.00401087,0.00416188
257.19,-3.58694e-08,-1.16164e-05,2.67968e-10,-86.5897,2.642e-11,-0.00401033,0.00416131
257.2,-3.58708e-08,-1.16176e-05,2.67956e-10,-86.5899,2.64156e-11,-0.00400978,0.00416075
257.21,-3.58721e-08,-1.16187e-05,2.67945e-10,-86.59,2.64112e-11,-0.00400923,0.00416018
257.22,-3.58734e-08,-1.16199e-05,2.67933e-10,-86.5901,2.64069e-11,-0.00400869,0.00415962
257.23,-3.58747e-08,-1.16211e-05,2.67921e-10,-86.5903,2.64025e-11,-0.00400814,0.00415905
257.24,-3.5876e-08,-1.16223e-05,2.6791e-10,-86.5904,2.63982e-11,-0.00400759,0.00415849
257.25,-3.58774e-08,-1.16235e-05,2.67898e-10,-86.5906,2.63938e-11,-0.00400705,0.00415793
257.26,-3.58787e-08,-1.16246e-05,2.67886e-10,-86.5907,2.63894e-11,-0.0040065,0.00415736
257.27,-3.588e-08,-1.16258e-05,2.67875e-10,-86.5908,2.63851e-11,-0.00400595,0.0041568
257.28,-3.58813e-08,-1.1627e-05,2.67863e-10,-86.591,2.63807e-11,-0.00400541,0.00415624
257.29,-3.58826e-08,-1.16282e-05,2.67851e-10,-86.5911,2.63764e-11,-0.00400486,0.00415567
257.3,-3.58839e-08,-1.16293e-05,2.6784e-10,-86.5913,2.6372e-11,-0.00400431,0.00415511
257.31,-3.58852e-08,-1.16305e-05,2.67828e-10,-86.5914,2.63676e-11,-0.00400377,0.00415455
257.32,-3.58864e-08,-1.16317e-05,2.67816e-10,-86.5915,2.63633e-11,-0.00400322,0.00415398
257.33,-3.58877e-08,-1.16329e-05,2.67805e-10,-86.5917,2.63589e-11,-0.00400268,0.00415342
257.34,-3.5889e-08,-1.1634e-05,2.67793e-10,-86.5918,2.63546e-11,-0.00400213,0.00415286
257.35,-3.58903e-08,-1.16352e-05,2.67781e-10,-86.5919,2.63502e-11,-0.00400159,0.00415229
257.36,-3.58916e-08,-1.16364e-05,2.67769e-10,-86.5921,2.63459e-11,-0.00400104,0.00415173
257.37,-3.58929e-08,-1.16376e-05,2.67758e-10,-86.5922,2.63415e-11,-0.00400049,0.00415117
257.38,-3.58941e-08,-1.16387e-05,2.67746e-10,-86.5924,2.63372e-11,-0.00399995,0.0041506
257.39,-3.58954e-08,-1.16399e-05,2.67734e-10,-86.5925,2.63328e-11,-0.0039994,0.00415004
257.4,-3.58967e-08,-1.16411e-05,2.67722e-10,-86.5926,2.63284e-11,-0.00399886,0.00414948
257.41,-3.58979e-08,-1.16423e-05,2.67711e-10,-86.5928,2.63241e-11,-0.00399831,0.00414892
257.42,-3.58992e-08,-1.16434e-05,2.67699e-10,-86.5929,2.63197e-11,-0.00399777,0.00414835
257.43,-3.59005e-08,-1.16446e-05,2.67687e-10,-86.5931,2.63154e-11,-0.00399722,0.00414779
257.44,-3.59017e-08,-1.16458e-05,2.67675e-10,-86.5932,2.63111e-11,-0.00399668,0.00414723
257.45,-3.5903e-08,-1.1647e-05,2.67663e-10,-86.5933,2.63067e-11,-0.00399613,0.00414667
257.46,-3.59042e-08,-1.16481e-05,2.67652e-10,-86.5935,2.63024e-11,-0.00399558,0.0041461
257.47,-3.59055e-08,-1.16493e-05,2.6764e-10,-86.5936,2.6298e-11,-0.00399504,0.00414554
257.48,-3.59067e-08,-1.16505e-05,2.67628e-10,-86.5938,2.62937e-11,-0.00399449,0.00414498
257.49,-3.5908e-08,-1.16516e-05,2.67616e-10,-86.5939,2.62893e-11,-0.00399395,0.00414442
257.5,-3.59092e-08,-1.16528e-05,2.67604e-10,-86.594,2.6285e-11,-0.00399341,0.00414386
257.51,-3.59104e-08,-1.1654e-05,2.67592e-10,-86.5942,2.62806e-11,-0.00399286,0.00414329
257.52,-3.59117e-08,-1.16552e-05,2.6758e-10,-86.5943,2.62763e-11,-0.00399232,0.00414273
257.53,-3.59129e-08,-1.16563e-05,2.67568e-10,-86.5944,2.6272e-11,-0.00399177,0.00414217
257.54,-3.59141e-08,-1.16575e-05,2.67557e-10,-86.5946,2.62676e-11,-0.00399123,0.00414161
257.55,-3.59154e-08,-1.16587e-05,2.67545e-10,-86.5947,2.62633e-11,-0.00399068,0.00414105
257.56,-3.59166e-08,-1.16598e-05,2.67533e-10,-86.5949,2.62589e-11,-0.00399014,0.00414048
257.57,-3.59178e-08,-1.1661e-05,2.67521e-10,-86.595,2.62546e-11,-0.00398959,0.00413992
257.58,-3.5919e-08,-1.16622e-05,2.67509e-10,-86.5951,2.62503e-11,-0.00398905,0.00413936
257.59,-3.59203e-08,-1.16633e-05,2.67497e-10,-86.5953,2.62459e-11,-0.0039885,0.0041388
257.6,-3.59215e-08,-1.16645e-05,2.67485e-10,-86.5954,2.62416e-11,-0.00398796,0.00413824
257.61,-3.59227e-08,-1.16657e-05,2.67473e-10,-86.5956,2.62373e-11,-0.00398742,0.00413768
257.62,-3.59239e-08,-1.16668e-05,2.67461e-10,-86.5957,2.62329e-11,-0.00398687,0.00413712
257.63,-3.59251e-08,-1.1668e-05,2.67449e-10,-86.5958,2.62286e-11,-0.00398633,0.00413655
257.64,-3.59263e-08,-1.16692e-05,2.67437e-10,-86.596,2.62243e-11,-0.00398578,0.00413599
257.65,-3.59275e-08,-1.16703e-05,2.67425e-10,-86.5961,2.62199e-11,-0.00398524,0.00413543
257.66,-3.59287e-08,-1.16715e-05,2.67413e-10,-86.5963,2.62156e-11,-0.0039847,0.00413487
257.67,-3.59299e-08,-1.16727e-05,2.67401e-10,-86.5964,2.62113e-11,-0.00398415,0.00413431
257.68,-3.59311e-08,-1.16738e-05,2.67389e-10,-86.5965,2.62069e-11,-0.00398361,0.00413375
257.69,-3.59323e-08,-1.1675e-05,2.67377e-10,-86.5967,2.62026e-11,-0.00398306,0.00413319
257.7,-3.59335e-08,-1.16762e-05,2.67365e-10,-86.5968,2.61983e-11,-0.00398252,0.00413263
257.71,-3.59347e-08,-1.16773e-05,2.67353e-10,-86.5969,2.61939e-11,-0.00398198,0.00413207
257.72,-3.59358e-08,-1.16785e-05,2.67341e-10,-86.5971,2.61896e-11,-0.00398143,0.00413151
257.73,-3.5937e-08,-1.16797e-05,2.67328e-10,-86.5972,2.61853e-11,-0.00398089,0.00413095
257.74,-3.59382e-08,-1.16808e-05,2.67316e-10,-86.5974,2.6181e-11,-0.00398035,0.00413039
257.75,-3.59394e-08,-1.1682e-05,2.67304e-10,-86.5975,2.61766e-11,-0.0039798,0.00412983
257.76,-3.59405e-08,-1.16831e-05,2.67292e-10,-86.5976,2.61723e-11,-0.00397926,0.00412926
257.77,-3.59417e-08,-1.16843e-05,2.6728e-10,-86.5978,2.6168e-11,-0.00397872,0.0041287
257.78,-3.59429e-08,-1.16855e-05,2.67268e-10,-86.5979,2.61637e-11,-0.00397817,0.00412814
257.79,-3.59441e-08,-1.16866e-05,2.67256e-10,-86.598,2.61594e-11,-0.00397763,0.00412758
257.8,-3.59452e-08,-1.16878e-05,2.67244e-10,-86.5982,2.6155e-11,-0.00397709,0.00412702
257.81,-3.59464e-08,-1.1689e-05,2.67231e-10,-86.5983,2.61507e-11,-0.00397655,0.00412646
257.82,-3.59475e-08,-1.16901e-05,2.67219e-10,-86.5985,2.61464e-11,-0.003976,0.0041259
257.83,-3.59487e-08,-1.16913e-05,2.67207e-10,-86.5986,2.61421e-11,-0.00397546,0.00412534
257.84,-3.59498e-08,-1.16924e-05,2.67195e-10,-86.5987,2.61378e-11,-0.00397492,0.00412478
257.85,-3.5951e-08,-1.16936e-05,2.67183e-10,-86.5989,2.61334e-11,-0.00397437,0.00412423
257.86,-3.59521e-08,-1.16948e-05,2.6717e-10,-86.599,2.61291e-11,-0.00397383,0.00412367
257.87,-3.59533e-08,-1.16959e-05,2.67158e-10,-86.5992,2.61248e-11,-0.00397329,0.00412311
257.88,-3.59544e-08,-1.16971e-05,2.67146e-10,-86.5993,2.61205e-11,-0.00397275,0.00412255
257.89,-3.59556e-08,-1.16982e-05,2.67134e-10,-86.5994,2.61162e-11,-0.0039722,0.00412199
257.9,-3.59567e-08,-1.16994e-05,2.67122e-10,-86.5996,2.61119e-11,-0.00397166,0.00412143
257.91,-3.59578e-08,-1.17006e-05,2.67109e-10,-86.5997,2.61076e-11,-0.00397112,0.00412087
257.92,-3.5959e-08,-1.17017e-05,2.67097e-10,-86.5998,2.61032e-11,-0.00397058,0.00412031
257.93,-3.59601e-08,-1.17029e-05,2.67085e-10,-86.6,2.60989e-11,-0.00397004,0.00411975
257.94,-3.59612e-08,-1.1704e-05,2.67072e-10,-86.6001,2.60946e-11,-0.00396949,0.00411919
257.95,-3.59623e-08,-1.17052e-05,2.6706e-10,-86.6003,2.60903e-11,-0.00396895,0.00411863
257.96,-3.59635e-08,-1.17063e-05,2.67048e-10,-86.6004,2.6086e-11,-0.00396841,0.00411807
257.97,-3.59646e-08,-1.17075e-05,2.67036e-10,-86.6005,2.60817e-11,-0.00396787,0.00411751
257.98,-3.59657e-08,-1.17087e-05,2.67023e-10,-86.6007,2.60774e-11,-0.00396733,0.00411695
257.99,-3.59668e-08,-1.17098e-05,2.67011e-10,-86.6008,2.60731e-11,-0.00396678,0.0041164
258,-3.59679e-08,-1.1711e-05,2.66999e-10,-86.6009,2.60688e-11,-0.00396624,0.00411584
258.01,-3.5969e-08,-1.17121e-05,2.66986e-10,-86.6011,2.60645e-11,-0.0039657,0.00411528
258.02,-3.59701e-08,-1.17133e-05,2.66974e-10,-86.6012,2.60602e-11,-0.00396516,0.00411472
258.03,-3.59712e-08,-1.17144e-05,2.66962e-10,-86.6014,2.60559e-11,-0.00396462,0.00411416
258.04,-3.59723e-08,-1.17156e-05,2.66949e-10,-86.6015,2.60516e-11,-0.00396408,0.0041136
258.05,-3.59734e-08,-1.17167e-05,2.66937e-10,-86.6016,2.60473e-11,-0.00396354,0.00411304
258.06,-3.59745e-08,-1.17179e-05,2.66924e-10,-86.6018,2.6043e-11,-0.00396299,0.00411249
258.07,-3.59756e-08,-1.1719e-05,2.66912e-10,-86.6019,2.60387e-11,-0.00396245,0.00411193
258.08,-3.59767e-08,-1.17202e-05,2.669e-10,-86.602,2.60344e-11,-0.00396191,0.00411137
258.09,-3.59778e-08,-1.17214e-05,2.66887e-10,-86.6022,2.60301e-11,-0.00396137,0.00411081
258.1,-3.59789e-08,-1.17225e-05,2.66875e-10,-86.6023,2.60258e-11,-0.00396083,0.00411025
258.11,-3.598e-08,-1.17237e-05,2.66862e-10,-86.6025,2.60215e-11,-0.00396029,0.0041097
258.12,-3.5981e-08,-1.17248e-05,2.6685e-10,-86.6026,2.60172e-11,-0.00395975,0.00410914
258.13,-3.59821e-08,-1.1726e-05,2.66837e-10,-86.6027,2.60129e-11,-0.00395921,0.00410858
258.14,-3.59832e-08,-1.17271e-05,2.66825e-10,-86.6029,2.60086e-11,-0.00395867,0.00410802
258.15,-3.59843e-08,-1.17283e-05,2.66812e-10,-86.603,2.60043e-11,-0.00395813,0.00410746
258.16,-3.59853e-08,-1.17294e-05,2.668e-10,-86.6032,2.6e-11,-0.00395758,0.00410691
258.17,-3.59864e-08,-1.17306e-05,2.66787e-10,-86.6033,2.59957e-11,-0.00395704,0.00410635
258.18,-3.59875e-08,-1.17317e-05,2.66775e-10,-86.6034,2.59914e-11,-0.0039565,0.00410579
258.19,-3.59885e-08,-1.17329e-05,2.66762e-10,-86.6036,2.59871e-11,-0.00395596,0.00410523
258.2,-3.59896e-08,-1.1734e-05,2.6675e-10,-86.6037,2.59828e-11,-0.00395542,0.00410468
258.21,-3.59907e-08,-1.17352e-05,2.66737e-10,-86.6038,2.59785e-11,-0.00395488,0.00410412
258.22,-3.59917e-08,-1.17363e-05,2.66725e-10,-86.604,2.59742e-11,-0.00395434,0.00410356
258.23,-3.59928e-08,-1.17375e-05,2.66712e-10,-86.6041,2.597e-11,-0.0039538,0.004103
258.24,-3.59938e-08,-1.17386e-05,2.667e-10,-86.6043,2.59657e-11,-0.00395326,0.00410245
258.25,-3.59949e-08,-1.17398e-05,2.66687e-10,-86.6044,2.59614e-11,-0.00395272,0.00410189
258.26,-3.59959e-08,-1.17409e-05,2.66675e-10,-86.6045,2.59571e-11,-0.00395218,0.00410133
258.27,-3.59969e-08,-1.17421e-05,2.66662e-10,-86.6047,2.59528e-11,-0.00395164,0.00410078
258.28,-3.5998e-08,-1.17432e-05,2.66649e-10,-86.6048,2.59485e-11,-0.0039511,0.00410022
258.29,-3.5999e-08,-1.17443e-05,2.66637e-10,-86.6049,2.59442e-11,-0.00395056,0.00409966
258.3,-3.60001e-08,-1.17455e-05,2.66624e-10,-86.6051,2.594e-11,-0.00395002,0.00409911
258.31,-3.60011e-08,-1.17466e-05,2.66612e-10,-86.6052,2.59357e-11,-0.00394948,0.00409855
258.32,-3.60021e-08,-1.17478e-05,2.66599e-10,-86.6053,2.59314e-11,-0.00394894,0.00409799
258.33,-3.60031e-08,-1.17489e-05,2.66586e-10,-86.6055,2.59271e-11,-0.0039484,0.00409744
258.34,-3.60042e-08,-1.17501e-05,2.66574e-10,-86.6056,2.59228e-11,-0.00394786,0.00409688
258.35,-3.60052e-08,-1.17512e-05,2.66561e-10,-86.6058,2.59186e-11,-0.00394732,0.00409632
258.36,-3.60062e-08,-1.17524e-05,2.66548e-10,-86.6059,2.59143e-11,-0.00394679,0.00409577
258.37,-3.60072e-08,-1.17535e-05,2.66536e-10,-86.606,2.591e-11,-0.00394625,0.00409521
258.38,-3.60083e-08,-1.17547e-05,2.66523e-10,-86.6062,2.59057e-11,-0.00394571,0.00409465
258.39,-3.60093e-08,-1.17558e-05,2.6651e-10,-86.6063,2.59015e-11,-0.00394517,0.0040941
258.4,-3.60103e-08,-1.17569e-05,2.66498e-10,-86.6064,2.58972e-11,-0.00394463,0.00409354
258.41,-3.60113e-08,-1.17581e-05,2.66485e-10,-86.6066,2.58929e-11,-0.00394409,0.00409299
258.42,-3.60123e-08,-1.17592e-05,2.66472e-10,-86.6067,2.58886e-11,-0.00394355,0.00409243
258.43,-3.60133e-08,-1.17604e-05,2.66459e-10,-86.6069,2.58844e-11,-0.00394301,0.00409187
258.44,-3.60143e-08,-1.17615e-05,2.66447e-10,-86.607,2.58801e-11,-0.00394247,0.00409132
258.45,-3.60153e-08,-1.17627e-05,2.66434e-10,-86.6071,2.58758e-11,-0.00394193,0.00409076
258.46,-3.60163e-08,-1.17638e-05,2.66421e-10,-86.6073,2.58715e-11,-0.00394139,0.00409021
258.47,-3.60173e-08,-1.17649e-05,2.66408e-10,-86.6074,2.58673e-11,-0.00394086,0.00408965
258.48,-3.60183e-08,-1.17661e-05,2.66396e-10,-86.6075,2.5863e-11,-0.00394032,0.0040891
258.49,-3.60193e-08,-1.17672e-05,2.66383e-10,-86.6077,2.58587e-11,-0.00393978,0.00408854
258.5,-3.60203e-08,-1.17684e-05,2.6637e-10,-86.6078,2.58545e-11,-0.00393924,0.00408799
